iteration scheduler BSLD AVGW AVGT SLD
0 rr 1.2274132609613566 1561.193359375 9269.3974609375 1.2274132609613566
0 rb 1.229930338054598 1566.9912109375 9275.1953125 1.229930338054598
0 rf 1.2289635287639686 1566.43359375 9274.6376953125 1.2289635287639686
0 fr 1.2285324675768636 1572.5556640625 9280.759765625 1.2285324675768636
0 fb 1.2285324675768636 1572.5556640625 9280.759765625 1.2285324675768636
0 ff 1.2285324675768636 1572.5556640625 9280.759765625 1.2285324675768636
0 sr 1.2065067095601172 1502.9384765625 9211.142578125 1.2065067095601172
0 sb 1.2065067095601172 1502.9384765625 9211.142578125 1.2065067095601172
0 sf 1.2065067095601172 1502.9384765625 9211.142578125 1.2065067095601172
0 lr 1.2285324675768636 1572.5556640625 9280.759765625 1.2285324675768636
0 lb 1.2285324675768636 1572.5556640625 9280.759765625 1.2285324675768636
0 lf 1.2285324675768636 1572.5556640625 9280.759765625 1.2285324675768636
0 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1.2288131394224509 1567.356987953186 9283.088632583618 1.2288131394224509
0 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 1.2298579459561076 1568.443707996048 9284.182703742757 1.2298579459561076
1 rr 2510.714007383512 341363.271484375 362299.45703125 2040.9563467932344
1 rb 4188.226272784957 488094.939453125 509031.125 1369.1163145601304
1 rf 3717.548026521408 482352.796875 503288.982421875 377.86923110350364
1 fr 4128.136419561751 481506.20703125 502442.392578125 1663.9666949368684
1 fb 5207.1529807449215 611918.1708984375 632854.3564453125 2185.6254141681643
1 ff 5207.1529807449215 611918.1708984375 632854.3564453125 2185.6254141681643
1 sr 50.12452969731309 316733.193359375 337669.37890625 29.32022313419313
1 sb 46.93954318815759 321085.9794921875 342022.1650390625 27.874759504501814
1 sf 46.93954318815759 321085.9794921875 342022.1650390625 27.874759504501814
1 lr 153.70432977025823 123850.6982421875 144786.8837890625 -726.0093703940522
1 lb 250.97259454274118 160579.09765625 181515.283203125 -1055.1503872280919
1 lf 250.97259454274118 160579.09765625 181515.283203125 -1055.1503872280919
1 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 3787.2326283422944 495721.08310317993 516677.71414375305 1069.1681109214808
1 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 4884.398943215633 609765.3633624054 630722.014369281 1926.1120882181508
2 rr 2550.0487505028523 173978.25390625 241873.609375 -601.0486127783987
2 rb 6068.799720196961 395378.37890625 463273.734375 1484.119699038102
2 rf 7464.312669434731 533129.6201171875 601024.9755859375 3655.0740545258736
2 fr 4242.732461487318 305007.640625 372902.99609375 2474.4753732711647
2 fb 4944.5413781873995 351938.0263671875 419833.3818359375 2655.7348514946825
2 ff 4944.5413781873995 351938.0263671875 419833.3818359375 2655.7348514946825
2 sr 104.35822889130057 37886.8447265625 105782.2001953125 132.02805311005056
2 sb 199.3428961197959 53370.09765625 121265.453125 113.61752990885843
2 sf 199.3428961197959 53370.09765625 121265.453125 113.61752990885843
2 lr 1010.3058868335135 63109.2890625 131004.64453125 482.358173617368
2 lb 1332.4817255073847 76341.708984375 144237.064453125 435.15124048134294
2 lf 1332.4817255073847 76341.708984375 144237.064453125 435.15124048134294
2 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1581.7775035872028 121974.12862205505 189935.78814888 -176.8240235791643
2 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 1277.173584414923 97067.58801623248 165029.31229311414 -767.3172129748883
3 rr 3329.063078407683 167346.6669921875 170096.3876953125 19461.206326175536
3 rb 3048.07912445405 154230.873046875 156980.59375 17307.401552839467
3 rf 3005.9890232710977 158733.8935546875 161483.6142578125 17092.4604983455
3 fr 4635.506272205 232287.197265625 235036.91796875 26758.33024216408
3 fb 4634.1250500527 232216.05859375 234965.779296875 26749.95995751177
3 ff 4634.1250500527 232216.05859375 234965.779296875 26749.95995751177
3 sr 143.98507989081176 17197.4482421875 19947.1689453125 838.3007211668549
3 sb 143.98507989081176 17197.4482421875 19947.1689453125 838.3007211668549
3 sf 143.98507989081176 17197.4482421875 19947.1689453125 838.3007211668549
3 lr 492.83591523198186 34250.5263671875 37000.2470703125 2378.793253401625
3 lb 492.83589617232116 34250.306640625 37000.02734375 2378.7932343419643
3 lf 492.83589617232116 34250.306640625 37000.02734375 2378.7932343419643
3 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 866.7192046705263 49703.925104141235 52456.33108139038 4656.167867900697
3 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 1137.31547609761 63482.05852060951 66234.46712019667 6246.791700145593
4 rr 6249.062207880953 315025.177734375 368009.546875 -35663.59135230943
4 rb 6926.339358986848 352014.3984375 404998.767578125 -45714.227266989714
4 rf 7055.740598317047 329700.873046875 382685.2421875 -43040.05669598478
4 fr 8451.822306926419 385386.080078125 438370.44921875 -49678.30776267303
4 fb 10359.261525647411 467169.0283203125 520153.3974609375 -61865.03650882681
4 ff 10359.261525647411 467169.0283203125 520153.3974609375 -61865.03650882681
4 sr 314.29056847327905 107472.3994140625 160456.7685546875 -1519.899176845419
