iteration scheduler BSLD AVGW AVGT SLD
0 rr 1.0736704345726327 896.787109375 6743.6962890625 0.9016307726272671
0 rb 1.0585966358273027 834.7548828125 6700.197265625 0.8947493721664389
0 rf 1.0530078499128566 802.2802734375 6528.3828125 0.8723026718318712
0 fr 1.0700741148016015 834.5634765625 6717.787109375 0.8963831536322622
0 fb 1.0603725028922568 877.056640625 6772.26953125 0.9026187276807882
0 ff 1.044870150493813 793.998046875 6504.5322265625 0.8650170776823108
0 sr 1.0466447081458088 778.99609375 6768.353515625 0.8788794829398592
0 sb 1.0458792816263967 770.0244140625 6799.08984375 0.8816530227253677
0 sf 1.0317801478684456 769.1396484375 6453.25 0.851586781655038
0 lr 1.0616946975772497 893.0869140625 6913.91015625 0.905671590051416
0 lb 1.0567556178512139 811.2509765625 6764.75 0.8958818204007057
0 lf 1.044870150493813 793.998046875 6504.5322265625 0.8650170776823108
0 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1.0630768144426752 827.9443340301514 6632.346222877502 0.8847422351717602
0 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 1.0564940526223399 797.2479925137013 6595.336275608279 0.880215023594087
1 rr 1929.717250927002 272301.857421875 289663.0087890625 1552.0494800384358
1 rb 2763.388193005182 354732.7333984375 371822.3134765625 -867.2849354417049
1 rf 3224.8856628700773 394946.3525390625 408721.6494140625 2676.7688566359298
1 fr 2947.063396352361 350219.5302734375 366549.703125 1120.9311898504236
1 fb 3484.5792182547775 410983.6103515625 427479.5185546875 1398.2461428195402
1 ff 3514.8154508011635 420238.7802734375 434890.015625 1396.4583284641699
1 sr 35.45398856239951 216278.6748046875 231206.744140625 27.182098074181095
1 sb 31.20376102100482 234834.9560546875 249976.5517578125 24.417941570064038
1 sf 32.151948178581385 233578.880859375 249054.8525390625 17.8410429896974
1 lr 119.4648236546555 90697.8115234375 106876.8046875 -527.5358079206583
1 lb 138.21391737100717 105998.255859375 122895.0244140625 -624.7763777636194
1 lf 111.54750082555378 92748.4384765625 107323.9140625 -539.4061970135646
1 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 3581.5344539615935 463867.86566257477 479711.41104888916 711.4297785247642
1 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 2797.015749557896 349308.5272125611 365408.75626078993 761.4039383560937
2 rr 1001.0084278746708 65483.6826171875 113822.2490234375 672.2840378099518
2 rb 4346.390529033602 290831.978515625 338612.0458984375 2271.5036390943255
2 rf 4185.954953217652 263511.8681640625 306546.51953125 1154.4074148643301
2 fr 1663.7173667875782 122174.5634765625 170739.076171875 1258.5744313111657
2 fb 3623.539908809472 256132.650390625 310002.337890625 1884.925563068497
2 ff 2667.4218308431045 194130.25 238389.6162109375 2001.4423994432075
2 sr 206.24498505115875 33846.1748046875 88866.8212890625 6.115129112238277
2 sb 282.4501678647904 54214.8779296875 115019.1435546875 148.37498581405535
2 sf 192.93734206977678 36549.7666015625 79872.18359375 -155.66625034893008
2 lr 480.2929879533831 27739.3935546875 80578.2177734375 127.818545167192
2 lb 615.7811101365916 34451.3662109375 89056.0576171875 294.97815119214715
2 lf 800.4804447438802 49632.966796875 93684.337890625 378.4787019279149
2 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1429.8612654167252 105797.69723320007 157272.0686893463 -1282.57490592223
2 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 953.8362849270628 69892.2389621418 118162.35553582944 -207.98037249479776
3 rr 2096.645108847071 109330.1435546875 111288.1337890625 12260.65879238891
3 rb 1926.3289236044425 99048.08984375 101176.09765625 11310.297320754538
3 rf 2152.064782196785 112272.45703125 114173.1318359375 12269.044949197416
3 fr 3412.56264629952 171609.0966796875 173827.8076171875 19743.68374577704
3 fb 3463.4440399605783 173804.0830078125 175888.453125 20013.78732135776
3 ff 3423.0590327285076 172037.13671875 174007.384765625 19797.029300556664
3 sr 73.30251379509816 11795.2333984375 14038.4912109375 419.22559265445193
3 sb 73.30755873253693 11795.2333984375 13985.943359375 419.17869319088953
3 sf 69.0296544991603 11444.140625 13376.9970703125 401.7455062991087
3 lr 354.7111100882347 25283.01953125 27356.03515625 1695.221883034439
3 lb 354.7133385424301 25283.0322265625 27388.1640625 1695.1977650645852
3 lf 354.7180838593499 25283.97265625 27368.6669921875 1695.3223393167875
3 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 500.58893392486226 31571.36716079712 33599.38151073456 2676.565287404013
3 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 407.72887968536736 26003.640983555466 28032.164435069077 2135.6434953678213
4 rr 2792.827808217453 140248.7900390625 185953.62890625 -16355.973028609184
4 rb 3401.5563661548163 181130.068359375 219403.8935546875 -20144.171301600403
4 rf 4979.69654336761 223988.4501953125 258135.2451171875 -30308.943277990078
4 fr 5705.146277189736 267366.330078125 306165.5595703125 -33100.10977038257
4 fb 9390.656228459744 421365.5966796875 457524.3779296875 -55819.82463348818
4 ff 5489.8218082233725 260102.703125 294909.0283203125 -31616.527421088213
4 sr 253.2815948629812 49697.205078125 92139.302734375 -1411.1040923634075
4 sb 230.097690448936 68812.0048828125 109725.341796875 -1025.1377951191992
4 sf 236.85477508054726 67972.072265625 104147.2265625 -1539.2699367908178
4 lr 720.9761703858142 59926.91015625 97785.943359375 -2111.6871718231587
4 lb 635.753531622605 56402.4228515625 93857.23828125 -1713.0240659533451
4 lf 638.6991477095752 56686.875 92400.4677734375 -1709.6384911790358
4 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 3690.953768990777 186354.4793701172 227482.55905056 -21079.193189971134
4 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 5650.823993104297 245031.80613219738 284466.3530850103 -35396.08909642011
5 rr 427.7036085179397 29279.89453125 114357.46484375 -143.36277172884354
5 rb 625.9622744703149 41415.4375 124480.0986328125 101.75706956059015
5 rf 526.0386316387196 18720.080078125 98360.3115234375 2178.4667422278444
5 fr 522.8152296436939 18568.5986328125 102345.873046875 2169.596092581393
5 fb 712.1021805114888 47475.9580078125 128645.6748046875 89.71567589358811
5 ff 524.0230699928434 18635.05859375 98440.3017578125 2170.7776303203314
5 sr 749.0878944157474 51939.76171875 132498.3115234375 -265.29582059485506
5 sb 829.3863613352224 56076.849609375 138162.90234375 38.667002266768215
5 sf 520.1600526728955 18677.208984375 99640.42578125 2156.509879005065
5 lr 522.8933332049669 18566.0908203125 100862.35546875 2166.586202419569
5 lb 672.968293046271 45838.81640625 126265.05078125 -86.33959463758475
5 lf 523.4906613097337 18611.05078125 98251.2822265625 2169.0311631455575
5 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 8188.956711765386 346788.72465896606 431047.4377756119 -36890.6782196626
5 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 8273.378226694078 332247.5983639248 411301.81878689025 -40097.749224438485
6 rr 970.9056125570005 47438.1396484375 56925.685546875 -3977.960001955966
6 rb 1722.8373750793298 80413.3984375 89542.9208984375 -7150.05731197958
6 rf 1186.4541878200278 56508.82421875 63131.3134765625 -4848.065626245251
6 fr 912.2732327472972 58186.5859375 66123.8828125 -1607.9035907117195
6 fb 1120.8147542289055 81373.529296875 89051.833984375 -1100.1802865936713
6 ff 996.7408573379143 67470.1875 74080.7197265625 -1339.2110614950554
6 sr 297.4509658126574 17133.166015625 23840.7880859375 -1464.935816370834
6 sb 297.7346039206331 18125.5185546875 25333.689453125 -1461.1771370066701
6 sf 297.0802901117905 17488.013671875 23912.5146484375 -1463.8154768186337
6 lr 456.03934802163207 10758.1171875 19197.435546875 -3877.1615265961805
6 lb 660.1594210307464 19259.3857421875 26812.1240234375 -4967.400424653215
6 lf 604.7223035643885 18054.9443359375 25542.5986328125 -4437.541579338967
6 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1158.7644664184281 48942.226508140564 56545.022068977356 -6218.6946743193685
6 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 923.2243289211756 36446.686744636856 43650.869162176736 -5397.0810377169255
7 rr 1.0 0.0 2485.4287109375 0.7113809765573779
7 rb 1.0 0.0 2342.0302734375 0.7051820544514283
7 rf 1.0 0.0 2108.501953125 0.6204359386434275
7 fr 1.0 0.0 2645.8369140625 0.7225298091422991
7 fb 1.0 0.0 2491.0869140625 0.7112178373474571
7 ff 1.0 0.0 2108.501953125 0.6204359386434275
7 sr 1.0 0.0 2653.361328125 0.8338471362438434
7 sb 1.0 0.0 2340.751953125 0.7040337534879618
7 sf 1.0 0.0 2108.501953125 0.6204359386434275
7 lr 1.0 0.0 2971.91796875 0.9715814571134489
7 lb 1.0 0.0 2942.080078125 0.8360308875130231
7 lf 1.0 0.0 2108.501953125 0.6204359386434275
7 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1.0010434503424657 0.01953125 2440.0922870635986 0.7226785910726543
7 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 1.000977581494475 1.9073486328125e-05 2390.7959885615855 0.7215975278906945
8 rr 1.6839651789230994 8536.2294921875 118285.9443359375 2.465552093147142
8 rb 1.4830677223527995 8242.5830078125 119364.041015625 1.9662206033155634
8 rf 1.0833013822102886 9506.8076171875 111327.32421875 0.9060120908361338
8 fr 1.042620098071418 7814.6181640625 119857.9921875 0.8473208939027421
8 fb 1.558445637681123 8303.599609375 117862.2978515625 2.2005794468084985
8 ff 1.0833012856984168 9506.8076171875 111327.3310546875 0.9060119943242609
8 sr 1.057623264437421 8469.7841796875 117250.9501953125 0.883715778625473
8 sb 1.6827683161817817 8413.5908203125 118729.181640625 2.502936695098748
8 sf 1.08330119591969 9506.8076171875 111327.3291015625 0.9060119045455353
8 lr 1.0531936773750772 8287.12109375 115697.9228515625 0.8706124322694438
8 lb 1.4214986216864058 8217.60546875 117194.15625 1.862484580432644
8 lf 1.0833012856984168 9506.8076171875 111327.3310546875 0.9060119943242609
8 data/logs/model_homo_BSLD/model_homo_BSLD_s2406 1489.5556184925179 267610.18633556366 376009.5052061081 4528.615600300007
8 data/logs/model_hetero_BSLD/model_hetero_BSLD_s2406 5.367556210136185 9244.997252280824 115018.25732930284 14.08841472594198
9 rr 2.925428733577408 161.6943359375 20383.3662109375 5.05607536232832
9 rb 9.499676453662012 1023.947265625 21104.3466796875 10.651612521760123
